Division (Group),Team Name,Discord of 1st Contact,Discord of 2nd Contact,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,School,Updated as of:,10/2/2023
4.3,C# Major,linn_greene,,[KSU]Linn #3839,[KSU]Proxy#2326,[KSU]J#2077,[KSU]Ink#1536,,,,,Kansas State Univerisy,,
4.3,Tentacoolers,_sanholo,,San Holo #8851,Chills #2545,Taka #2965,Inkslinger#2989,MidKnight #1613,Omik #3338,River #2410,,"California State Polytechnic University, Pomona",,
4.3,Wildcat Esports - Wet Cod Empire,magna_6400,,[WCE]Magna#1097,Paperclip#2166, ChefGick#2693,Spartan355#1561, 1haley123#2314,DukeDev494#2189,,,SUNY Polytechnic Institute,,
4.3,Goomies,sockz.party,,⬤ノ Bubble#3383,Rare#3223,Fox!#2635,Anarchy#8753,DuhhDors#1286,,,,Virginia Commonwealth University,,
4.4,The Octocutioners,wonderfire,,Big Pharma#2630,seaman#1556,rmcqu1#2666,gigi#1515,julz#2784,,,,Stevens Institute of Technology,,
4.4,Seminole Cephalopods Garnet,jdm23133,,DualBall#1537,PkCj#1630,Alex#1067,Comrade#1334,B∀ niko!!!#2037,,,,Florida State University,,
4.4,GMU Splatoon 3 Academy Team,Naocaat,,Meat#7142,☆T-DemoLaw#2722,Graham#2069,Bricky#2219,Sandwich#11759,,,,George Mason University,,
4.4,Grizztaco,keeganrany,,Ξ↑Rany#1127,ryan dumn#3044,Pyro#2154,Huddsies!#2864,,,,,Bridgewater State University,,
4.4,Moravian CyberSquids,jackd_513,,Moon#2748,☆Jack_64☆#1573,Sprinkler!#1406,PikPik23p#3147,Nox#4544,diplodocus#4454,Mikē#1969,Toxicflame#3035,Moravian University,,
4.4,STEW,jg5,,S2 JG5 #1606,S2 Mayday #1393,S2 Raine #2305,S2 Shoes #1169,S2 Gallade#2226,,,,Purdue University,,
5.1,Champlain Splatoon Cerulean,queencyanne,,[MUG] Cyan#1101,[MUG] Sam #8233,[MUG] Jupi#1051,ALTO#1920,FE Lara #5788,Potato#26959,☆Malakai☆ #1296,,Champlain College,,
5.1,[DPU] Hook Line & Inker,nakopyon,,sayuri ♪#2214,Mistral#6365,ARC#1250,Oddlover#1743,zuko™ #8998,elysium#1148,,,DePaul University,,
5.1,LG Equinox,hambsa,,hambsa★#2687,Scratch#3232,IIIIXXIIII#2429,MLG#1242,ClownNine#1886,,,,University of Texas at Austin,,
5.1,High Riders,Yoshi90,,Yoshi#1173,Cash Flow#2279,fuyu#2908,collin#1264,,,,,Iona University,,
5.1,OU Academy B,Nona._,,Nona#3050,MaxIsWell#2918,Quillble#6251,Jos :)#3960,Tanor#3712,,,,The University of Oklahoma,,
5.1,Auburn Navy,adv_gameboi,,advGameBoi#1437,MK Bravo#1473,otterp0p#1896,Flordiaman#1251,♪☆Missy☆♪#7177,Fotolotl#1026,,,Auburn University,,
5.2,SHUGS Splatoon,bloodlustblack,,BloodBoy#1113,(¬_¬)#2127,Reynbow#9529,Elledritch#2585,scythe#4875,Mega#1265,,,Seton Hall University,,
5.2,Crimson Ink,arben_sear,thethreevs,-CI>The3Vs#1829,-CI> Arben#2242,Kuo#1383,-CL>Huffle#1812,,,,,University of Utah,,
5.2,Squid Kids,thisisfletch,,Fletched#1226,Xandar#1444,Anna#2041,CapCosmix#7918,No-bodi#3102,Pigeon#1958,,,Emerson College,,
5.2,Undertow Dartfish,kitthegoddess,,☆Kitsune☆#2198,SplooshMan#2371,William#1626,Brenna#2502,☆Wolf☆ #5911,Coolguy#1233,sulfie#2618,,University of Denver,,
5.2,Clark Koi,weird_one_,,Ж WeirdOne#1921,Ж Egg#2556,Ж coulton#3569,Ж Rawsome#9434,,,,,Clark University,,
5.2,Let's Get Kraken,pandavolley,,Pandá#1615,M.Ink#1788,Vee3000#2638,Drackonic#3007,NomNom#5422,Scrambled#1384,,,Bradley University,,
5.3,The Geneva Suggestion,mayor_of_nyc,,Chaos#9270,weezerfan4#1340,Aqours!#2506,R.Rhapsody#2316,IchikaXYZ#6345,,,,New York University,,
5.3,The Purple Fryfish,Red826,,Red826#1719,Oracle#2392,e#9582,DKS01#8286,Krata#1447,,,,Nazareth College,,
